id,group_id,text,label,split,provenance
D-10-2,D-10,"A predictive model estimates outcomes from rows of structured data; no language-model adaptation is discussed. The article is titled ""Forecasting with tabular features"".",Other,train,authored_synthetic
D-14-4,D-14,Reading suggestion: Reducing inference latency. The article optimizes key-value caching and token generation throughput for an already trained model. The intended reader is a software developer.,Other,train,authored_synthetic
A-08-3,A-08,A developer learning note on finding text in scanned manuals. Scanned pages are extracted and indexed so a generator can answer questions using the retrieved material.,RAG,train,authored_synthetic
C-03-2,C-03,"The tutorial adjusts the optimizer step size when adapting a pretrained language model on a task dataset. The article is titled ""A smaller learning rate"".",Fine-tuning,train,authored_synthetic
A-24-4,A-24,Reading suggestion: Retrieval versus memorized knowledge. The comparison studies accessing external documents at answer time instead of relying only on model parameters. The intended reader is a software developer.,RAG,train,authored_synthetic
A-11-3,A-11,A developer learning note on question rewriting for search. A follow-up question is rewritten into a standalone query to retrieve relevant knowledge-base passages.,RAG,train,authored_synthetic
C-17-1,C-17,Article: Changing an optimizer schedule. Description: A task adaptation experiment compares learning-rate schedules while updating model parameters.,Fine-tuning,train,authored_synthetic
B-15-4,B-15,Reading suggestion: Budgeting autonomous actions. The coordinator limits an assistant's tool calls and elapsed time while it works toward a goal. The intended reader is a software developer.,Agents,train,authored_synthetic
C-11-1,C-11,Article: Adapting a domain writing style. Description: A model is trained on reviewed examples to reproduce a domain-specific response style.,Fine-tuning,train,authored_synthetic
A-20-2,A-20,"A knowledge assistant chooses the right index and retrieves source material before composing its answer. The article is titled ""Routing a query to a document collection"".",RAG,train,authored_synthetic
A-01-4,A-01,Reading suggestion: Choosing chunk boundaries. The article compares paragraph boundaries and overlapping windows when indexing documents for grounded answers. The intended reader is a software developer.,RAG,train,authored_synthetic
A-15-3,A-15,A developer learning note on evaluating answer grounding. The article tests whether answers are supported by the context retrieved from source documents.,RAG,train,authored_synthetic
B-24-3,B-24,A developer learning note on testing action sequences. The evaluation checks whether a tool-using assistant performs required steps in the correct order.,Agents,train,authored_synthetic
A-00-2,A-00,"A question-answering app retrieves relevant handbook passages and supplies them to the model as evidence. The article is titled ""Answers from a handbook"".",RAG,train,authored_synthetic
D-15-2,D-15,"A policy document describes organizational AI governance responsibilities rather than model training or orchestration. The article is titled ""An AI policy announcement"".",Other,train,authored_synthetic
D-17-2,D-17,"A web interface displays and filters data records; it does not adapt a model or implement an assistant workflow. The article is titled ""Building a dataset viewer"".",Other,train,authored_synthetic
C-13-4,C-13,Reading suggestion: Gradient accumulation on a small GPU. The tutorial accumulates gradients across microbatches while training a task adapter. The intended reader is a software developer.,Fine-tuning,train,authored_synthetic
C-11-3,C-11,A developer learning note on adapting a domain writing style. A model is trained on reviewed examples to reproduce a domain-specific response style.,Fine-tuning,train,authored_synthetic
C-08-4,C-08,Reading suggestion: Cleaning an instruction dataset. A team removes conflicting examples before supervised adaptation of a pretrained assistant. The intended reader is a software developer.,Fine-tuning,train,authored_synthetic
C-01-4,C-01,Reading suggestion: Training from labelled examples. A pretrained model is adapted using input-output examples for a specific classification problem. The intended reader is a software developer.,Fine-tuning,train,authored_synthetic
A-13-0,A-13,Reducing duplicate context. The pipeline removes near-identical retrieved passages to use the model's context budget more effectively.,RAG,train,authored_synthetic
A-06-4,A-06,Reading suggestion: Citations from retrieved context. An assistant links factual statements in its answer to the document passages it retrieved. The intended reader is a software developer.,RAG,train,authored_synthetic
D-11-4,D-11,Reading suggestion: Compressing weights for inference. The guide quantizes an existing model for deployment without training an adapter or updating task behaviour. The intended reader is a software developer.,Other,train,authored_synthetic
C-21-0,C-21,Distilling a task into a small model. A small model is trained on reviewed teacher outputs to reproduce a narrow task behaviour.,Fine-tuning,train,authored_synthetic
A-13-4,A-13,Reading suggestion: Reducing duplicate context. The pipeline removes near-identical retrieved passages to use the model's context budget more effectively. The intended reader is a software developer.,RAG,train,authored_synthetic
C-08-3,C-08,A developer learning note on cleaning an instruction dataset. A team removes conflicting examples before supervised adaptation of a pretrained assistant.,Fine-tuning,train,authored_synthetic
D-22-1,D-22,Article: Learning a vision model from scratch. Description: The paper develops a new visual architecture and trains it from initialization rather than adapting a pretrained assistant.,Other,train,authored_synthetic
C-22-4,C-22,Reading suggestion: Comparing full and adapter updates. The study contrasts updating every model parameter with learning a compact task-specific adaptation. The intended reader is a software developer.,Fine-tuning,train,authored_synthetic
C-06-0,C-06,Comparing training epochs. A team changes the number of passes through labelled data and checks whether task adaptation overfits.,Fine-tuning,train,authored_synthetic
D-21-0,D-21,A fixed calendar automation. A scheduled script copies calendar entries between services without a model deciding which action to take.,Other,train,authored_synthetic
A-05-4,A-05,"Reading suggestion: Refreshing a knowledge index. The tutorial updates an external document index when policies change, without adapting the generator's weights. The intended reader is a software developer.",RAG,train,authored_synthetic
D-06-1,D-06,Article: Deploying an inference server. Description: A systems guide configures batching and request handling to serve an existing model efficiently.,Other,train,authored_synthetic
C-08-0,C-08,Cleaning an instruction dataset. A team removes conflicting examples before supervised adaptation of a pretrained assistant.,Fine-tuning,train,authored_synthetic
A-24-2,A-24,"The comparison studies accessing external documents at answer time instead of relying only on model parameters. The article is titled ""Retrieval versus memorized knowledge"".",RAG,train,authored_synthetic
D-04-2,D-04,"A company announces an investment round and discusses its business plans without explaining a technical workflow. The article is titled ""An AI company funding announcement"".",Other,train,authored_synthetic
B-08-3,B-08,A developer learning note on delegating work between specialists. A coordinator assigns subtasks to specialized assistants and combines their results into one response.,Agents,train,authored_synthetic
B-20-0,B-20,Tools as untrusted data sources. A tool-using assistant separates external tool content from instructions controlling its actions.,Agents,train,authored_synthetic
A-15-1,A-15,Article: Evaluating answer grounding. Description: The article tests whether answers are supported by the context retrieved from source documents.,RAG,train,authored_synthetic
D-11-1,D-11,Article: Compressing weights for inference. Description: The guide quantizes an existing model for deployment without training an adapter or updating task behaviour.,Other,train,authored_synthetic
A-10-0,A-10,Filters on a vector index. A company search tool restricts retrieved context by department and document access before generation.,RAG,train,authored_synthetic
C-05-2,C-05,"The training recipe keeps a quantized base model frozen and learns low-rank task adapters. The article is titled ""Quantized adapter training"".",Fine-tuning,train,authored_synthetic
B-08-4,B-08,Reading suggestion: Delegating work between specialists. A coordinator assigns subtasks to specialized assistants and combines their results into one response. The intended reader is a software developer.,Agents,train,authored_synthetic
C-02-3,C-02,A developer learning note on choosing an adapter rank. The experiment changes low-rank adapter capacity and compares validation performance after training.,Fine-tuning,train,authored_synthetic
A-20-0,A-20,Routing a query to a document collection. A knowledge assistant chooses the right index and retrieves source material before composing its answer.,RAG,train,authored_synthetic
D-17-4,D-17,Reading suggestion: Building a dataset viewer. A web interface displays and filters data records; it does not adapt a model or implement an assistant workflow. The intended reader is a software developer.,Other,train,authored_synthetic
D-07-0,D-07,Designing a better prompt. The tutorial improves a single model prompt without training parameters or invoking external tools.,Other,train,authored_synthetic
A-22-3,A-22,A developer learning note on a retrieval ablation study. The evaluation removes the external knowledge search to measure its effect on generated answers.,RAG,train,authored_synthetic
D-22-0,D-22,Learning a vision model from scratch. The paper develops a new visual architecture and trains it from initialization rather than adapting a pretrained assistant.,Other,train,authored_synthetic
A-05-1,A-05,"Article: Refreshing a knowledge index. Description: The tutorial updates an external document index when policies change, without adapting the generator's weights.",RAG,train,authored_synthetic
A-17-2,A-17,"A multilingual embedding index retrieves relevant passages across languages for question answering. The article is titled ""Searching multilingual documents"".",RAG,train,authored_synthetic
B-21-0,B-21,Parallel independent tool calls. A coordinator runs independent lookups concurrently and waits for their results before taking the next action.,Agents,train,authored_synthetic
A-06-1,A-06,Article: Citations from retrieved context. Description: An assistant links factual statements in its answer to the document passages it retrieved.,RAG,train,authored_synthetic
D-05-1,D-05,Article: Comparing model API prices. Description: The article compares published inference prices and account limits for several hosted language models.,Other,train,authored_synthetic
B-06-0,B-06,"A coding assistant that uses a terminal. The system edits code, runs tests, reads the failures, and decides which change to attempt next.",Agents,train,authored_synthetic
B-05-2,B-05,"A long-running assistant records completed actions so it can resume a task without repeating them. The article is titled ""Maintaining state over several actions"".",Agents,train,authored_synthetic
B-04-3,B-04,A developer learning note on a browser assistant with checkpoints. A model navigates a website through tools and pauses at consequential actions for user review.,Agents,train,authored_synthetic
C-10-3,C-10,A developer learning note on freezing most parameters. The study updates a small subset of a pretrained model's parameters during task-specific adaptation.,Fine-tuning,train,authored_synthetic
D-06-3,D-06,A developer learning note on deploying an inference server. A systems guide configures batching and request handling to serve an existing model efficiently.,Other,train,authored_synthetic
A-02-0,A-02,Search before generation. The system searches a document collection before asking a language model to answer the user's question.,RAG,train,authored_synthetic
A-15-0,A-15,Evaluating answer grounding. The article tests whether answers are supported by the context retrieved from source documents.,RAG,train,authored_synthetic
D-10-0,D-10,Forecasting with tabular features. A predictive model estimates outcomes from rows of structured data; no language-model adaptation is discussed.,Other,train,authored_synthetic
D-10-4,D-10,Reading suggestion: Forecasting with tabular features. A predictive model estimates outcomes from rows of structured data; no language-model adaptation is discussed. The intended reader is a software developer.,Other,train,authored_synthetic
C-21-4,C-21,Reading suggestion: Distilling a task into a small model. A small model is trained on reviewed teacher outputs to reproduce a narrow task behaviour. The intended reader is a software developer.,Fine-tuning,train,authored_synthetic
A-14-4,A-14,Reading suggestion: Grounded answers with missing evidence. A knowledge assistant declines to answer when its search results do not contain the requested fact. The intended reader is a software developer.,RAG,train,authored_synthetic
B-14-2,B-14,"The orchestration code chooses a next stage based on the result of a model-driven step. The article is titled ""A workflow with conditional branches"".",Agents,train,authored_synthetic
A-22-0,A-22,A retrieval ablation study. The evaluation removes the external knowledge search to measure its effect on generated answers.,RAG,train,authored_synthetic
B-11-4,B-11,"Reading suggestion: A search tool within a larger task. A model can choose search, calculation, or record updates depending on what a multi-step user request needs. The intended reader is a software developer.",Agents,train,authored_synthetic
B-04-0,B-04,A browser assistant with checkpoints. A model navigates a website through tools and pauses at consequential actions for user review.,Agents,train,authored_synthetic
D-06-0,D-06,Deploying an inference server. A systems guide configures batching and request handling to serve an existing model efficiently.,Other,train,authored_synthetic
C-05-0,C-05,Quantized adapter training. The training recipe keeps a quantized base model frozen and learns low-rank task adapters.,Fine-tuning,train,authored_synthetic
C-04-0,C-04,Merging a trained adapter. A trained adaptation is folded into the base model weights to export one model for inference.,Fine-tuning,train,authored_synthetic
A-17-4,A-17,Reading suggestion: Searching multilingual documents. A multilingual embedding index retrieves relevant passages across languages for question answering. The intended reader is a software developer.,RAG,train,authored_synthetic
B-01-1,B-01,Article: A planner and an executor. Description: A model breaks a task into steps while a separate execution component runs the selected tools.,Agents,train,authored_synthetic
C-00-3,C-00,A developer learning note on adapting with low-rank matrices. The guide freezes pretrained weights and learns small adapter matrices for a supervised task.,Fine-tuning,train,authored_synthetic
A-07-2,A-07,"A question-answering system follows graph relationships to collect evidence before writing a response. The article is titled ""Retrieving across linked entities"".",RAG,train,authored_synthetic
C-02-1,C-02,Article: Choosing an adapter rank. Description: The experiment changes low-rank adapter capacity and compares validation performance after training.,Fine-tuning,train,authored_synthetic
C-15-3,C-15,A developer learning note on a multilingual task adapter. Training examples in several languages are used to adapt a pretrained model to a defined task.,Fine-tuning,train,authored_synthetic
C-06-1,C-06,Article: Comparing training epochs. Description: A team changes the number of passes through labelled data and checks whether task adaptation overfits.,Fine-tuning,train,authored_synthetic
D-07-1,D-07,Article: Designing a better prompt. Description: The tutorial improves a single model prompt without training parameters or invoking external tools.,Other,train,authored_synthetic
B-15-2,B-15,"The coordinator limits an assistant's tool calls and elapsed time while it works toward a goal. The article is titled ""Budgeting autonomous actions"".",Agents,train,authored_synthetic
B-15-0,B-15,Budgeting autonomous actions. The coordinator limits an assistant's tool calls and elapsed time while it works toward a goal.,Agents,train,authored_synthetic
A-23-3,A-23,A developer learning note on searching private project documents. A team uses authorized project files as a searchable source of context for a question-answering assistant.,RAG,train,authored_synthetic
A-22-4,A-22,Reading suggestion: A retrieval ablation study. The evaluation removes the external knowledge search to measure its effect on generated answers. The intended reader is a software developer.,RAG,train,authored_synthetic
D-13-1,D-13,Article: An image segmentation architecture. Description: A vision system identifies object regions inside an image and compares segmentation quality.,Other,train,authored_synthetic
D-03-3,D-03,A developer learning note on forecasting electricity demand. A time-series model predicts future energy use from past observations and calendar variables.,Other,train,authored_synthetic
B-17-0,B-17,A shopping assistant with approval. The assistant compares products through tools and asks for confirmation before placing an order.,Agents,train,authored_synthetic
B-00-0,B-00,"Selecting a tool for the next step. An assistant chooses a function, supplies arguments, and inspects the returned result before deciding what to do next.",Agents,train,authored_synthetic
B-13-4,B-13,Reading suggestion: Structured tool arguments. The application validates the function name and arguments proposed by an assistant before execution. The intended reader is a software developer.,Agents,train,authored_synthetic
D-17-3,D-17,A developer learning note on building a dataset viewer. A web interface displays and filters data records; it does not adapt a model or implement an assistant workflow.,Other,train,authored_synthetic
C-23-3,C-23,A developer learning note on resuming a supervised training run. A training job loads its adapter and optimizer checkpoint to continue updating the model on labelled examples.,Fine-tuning,train,authored_synthetic
C-05-1,C-05,Article: Quantized adapter training. Description: The training recipe keeps a quantized base model frozen and learns low-rank task adapters.,Fine-tuning,train,authored_synthetic
B-22-3,B-22,A developer learning note on selecting specialist assistants. An orchestrator routes a task to an assistant with the right tool access and combines the returned work.,Agents,train,authored_synthetic
A-01-2,A-01,"The article compares paragraph boundaries and overlapping windows when indexing documents for grounded answers. The article is titled ""Choosing chunk boundaries"".",RAG,train,authored_synthetic
C-08-1,C-08,Article: Cleaning an instruction dataset. Description: A team removes conflicting examples before supervised adaptation of a pretrained assistant.,Fine-tuning,train,authored_synthetic
B-07-4,B-07,Reading suggestion: Choosing when a task is complete. An assistant uses explicit stopping conditions to avoid continuing tool calls after its goal is satisfied. The intended reader is a software developer.,Agents,train,authored_synthetic
C-04-1,C-04,Article: Merging a trained adapter. Description: A trained adaptation is folded into the base model weights to export one model for inference.,Fine-tuning,train,authored_synthetic
C-23-4,C-23,Reading suggestion: Resuming a supervised training run. A training job loads its adapter and optimizer checkpoint to continue updating the model on labelled examples. The intended reader is a software developer.,Fine-tuning,train,authored_synthetic
D-13-0,D-13,An image segmentation architecture. A vision system identifies object regions inside an image and compares segmentation quality.,Other,train,authored_synthetic
C-03-3,C-03,A developer learning note on a smaller learning rate. The tutorial adjusts the optimizer step size when adapting a pretrained language model on a task dataset.,Fine-tuning,train,authored_synthetic
C-21-3,C-21,A developer learning note on distilling a task into a small model. A small model is trained on reviewed teacher outputs to reproduce a narrow task behaviour.,Fine-tuning,train,authored_synthetic
B-06-3,B-06,"A developer learning note on a coding assistant that uses a terminal. The system edits code, runs tests, reads the failures, and decides which change to attempt next.",Agents,train,authored_synthetic
A-24-1,A-24,Article: Retrieval versus memorized knowledge. Description: The comparison studies accessing external documents at answer time instead of relying only on model parameters.,RAG,train,authored_synthetic
A-02-1,A-02,Article: Search before generation. Description: The system searches a document collection before asking a language model to answer the user's question.,RAG,train,authored_synthetic
C-14-4,C-14,Reading suggestion: A checkpoint comparison. The team compares validation scores from saved checkpoints of the same supervised adaptation run. The intended reader is a software developer.,Fine-tuning,train,authored_synthetic
D-04-0,D-04,An AI company funding announcement. A company announces an investment round and discusses its business plans without explaining a technical workflow.,Other,train,authored_synthetic
A-15-4,A-15,Reading suggestion: Evaluating answer grounding. The article tests whether answers are supported by the context retrieved from source documents. The intended reader is a software developer.,RAG,train,authored_synthetic
D-02-3,D-02,A developer learning note on a new image classifier. A vision architecture identifies objects in pictures; the focus is the visual recognition method.,Other,train,authored_synthetic
A-01-1,A-01,Article: Choosing chunk boundaries. Description: The article compares paragraph boundaries and overlapping windows when indexing documents for grounded answers.,RAG,train,authored_synthetic
D-24-2,D-24,"A brief newsletter mentions model launches, retrieval, agents, and training equally, with no clear dominant topic. The article is titled ""A roundup without a main technical topic"".",Other,train,authored_synthetic
C-21-1,C-21,Article: Distilling a task into a small model. Description: A small model is trained on reviewed teacher outputs to reproduce a narrow task behaviour.,Fine-tuning,train,authored_synthetic
B-01-4,B-01,Reading suggestion: A planner and an executor. A model breaks a task into steps while a separate execution component runs the selected tools. The intended reader is a software developer.,Agents,train,authored_synthetic
B-10-4,B-10,Reading suggestion: Remembering previous tool observations. An assistant retains useful outcomes of earlier actions to inform later decisions in the same workflow. The intended reader is a software developer.,Agents,train,authored_synthetic
B-20-3,B-20,A developer learning note on tools as untrusted data sources. A tool-using assistant separates external tool content from instructions controlling its actions.,Agents,train,authored_synthetic
B-02-3,B-02,A developer learning note on pausing before an external action. A tool-using assistant waits for human approval before sending a message or changing an external record.,Agents,train,authored_synthetic
A-03-4,A-03,Reading suggestion: Combining lexical and vector retrieval. A search pipeline merges keyword results with embedding matches to find useful context for an answer. The intended reader is a software developer.,RAG,train,authored_synthetic
C-11-0,C-11,Adapting a domain writing style. A model is trained on reviewed examples to reproduce a domain-specific response style.,Fine-tuning,train,authored_synthetic
B-03-3,B-03,"A developer learning note on recovering from a failed tool call. An autonomous workflow examines a tool error and decides whether to retry, change arguments, or escalate.",Agents,train,authored_synthetic
C-10-2,C-10,"The study updates a small subset of a pretrained model's parameters during task-specific adaptation. The article is titled ""Freezing most parameters"".",Fine-tuning,train,authored_synthetic
C-20-3,C-20,A developer learning note on preventing validation leakage. Related examples are grouped before splitting a dataset used to adapt a pretrained model.,Fine-tuning,train,authored_synthetic
B-13-2,B-13,"The application validates the function name and arguments proposed by an assistant before execution. The article is titled ""Structured tool arguments"".",Agents,train,authored_synthetic
D-06-4,D-06,Reading suggestion: Deploying an inference server. A systems guide configures batching and request handling to serve an existing model efficiently. The intended reader is a software developer.,Other,train,authored_synthetic
D-23-3,D-23,A developer learning note on video generation from text. A generative video system creates moving scenes from descriptions; the article focuses on output quality.,Other,train,authored_synthetic
B-11-2,B-11,"A model can choose search, calculation, or record updates depending on what a multi-step user request needs. The article is titled ""A search tool within a larger task"".",Agents,train,authored_synthetic
D-11-2,D-11,"The guide quantizes an existing model for deployment without training an adapter or updating task behaviour. The article is titled ""Compressing weights for inference"".",Other,train,authored_synthetic
B-21-4,B-21,Reading suggestion: Parallel independent tool calls. A coordinator runs independent lookups concurrently and waits for their results before taking the next action. The intended reader is a software developer.,Agents,train,authored_synthetic
D-17-0,D-17,Building a dataset viewer. A web interface displays and filters data records; it does not adapt a model or implement an assistant workflow.,Other,train,authored_synthetic
D-07-4,D-07,Reading suggestion: Designing a better prompt. The tutorial improves a single model prompt without training parameters or invoking external tools. The intended reader is a software developer.,Other,train,authored_synthetic
B-00-3,B-00,"A developer learning note on selecting a tool for the next step. An assistant chooses a function, supplies arguments, and inspects the returned result before deciding what to do next.",Agents,train,authored_synthetic
B-23-1,B-23,"Article: A research-and-write workflow. Description: A model plans source lookups, invokes research tools, inspects findings, and decides when it has enough material.",Agents,train,authored_synthetic
A-05-0,A-05,"Refreshing a knowledge index. The tutorial updates an external document index when policies change, without adapting the generator's weights.",RAG,train,authored_synthetic
D-20-1,D-20,"Article: Vector similarity for product search. Description: An ecommerce search engine ranks products by similarity, but no language generation or grounded answering is involved.",Other,train,authored_synthetic
D-05-4,D-05,Reading suggestion: Comparing model API prices. The article compares published inference prices and account limits for several hosted language models. The intended reader is a software developer.,Other,train,authored_synthetic
B-01-0,B-01,A planner and an executor. A model breaks a task into steps while a separate execution component runs the selected tools.,Agents,train,authored_synthetic
C-00-1,C-00,Article: Adapting with low-rank matrices. Description: The guide freezes pretrained weights and learns small adapter matrices for a supervised task.,Fine-tuning,train,authored_synthetic
A-23-0,A-23,Searching private project documents. A team uses authorized project files as a searchable source of context for a question-answering assistant.,RAG,train,authored_synthetic
D-14-2,D-14,"The article optimizes key-value caching and token generation throughput for an already trained model. The article is titled ""Reducing inference latency"".",Other,train,authored_synthetic
B-11-1,B-11,"Article: A search tool within a larger task. Description: A model can choose search, calculation, or record updates depending on what a multi-step user request needs.",Agents,train,authored_synthetic
C-20-2,C-20,"Related examples are grouped before splitting a dataset used to adapt a pretrained model. The article is titled ""Preventing validation leakage"".",Fine-tuning,train,authored_synthetic
A-10-3,A-10,A developer learning note on filters on a vector index. A company search tool restricts retrieved context by department and document access before generation.,RAG,train,authored_synthetic
B-00-4,B-00,"Reading suggestion: Selecting a tool for the next step. An assistant chooses a function, supplies arguments, and inspects the returned result before deciding what to do next. The intended reader is a software developer.",Agents,train,authored_synthetic
B-13-1,B-13,Article: Structured tool arguments. Description: The application validates the function name and arguments proposed by an assistant before execution.,Agents,train,authored_synthetic
A-14-2,A-14,"A knowledge assistant declines to answer when its search results do not contain the requested fact. The article is titled ""Grounded answers with missing evidence"".",RAG,train,authored_synthetic
C-01-2,C-01,"A pretrained model is adapted using input-output examples for a specific classification problem. The article is titled ""Training from labelled examples"".",Fine-tuning,train,authored_synthetic
B-10-2,B-10,"An assistant retains useful outcomes of earlier actions to inform later decisions in the same workflow. The article is titled ""Remembering previous tool observations"".",Agents,train,authored_synthetic
B-10-1,B-10,Article: Remembering previous tool observations. Description: An assistant retains useful outcomes of earlier actions to inform later decisions in the same workflow.,Agents,train,authored_synthetic
D-00-0,D-00,Generating images from a description. A diffusion system creates a picture from a text prompt; the article focuses on visual synthesis quality.,Other,train,authored_synthetic
C-07-3,C-07,A developer learning note on preferences as training data. The method adapts a model using pairs of preferred and rejected responses.,Fine-tuning,train,authored_synthetic
C-00-0,C-00,Adapting with low-rank matrices. The guide freezes pretrained weights and learns small adapter matrices for a supervised task.,Fine-tuning,train,authored_synthetic
D-03-0,D-03,Forecasting electricity demand. A time-series model predicts future energy use from past observations and calendar variables.,Other,train,authored_synthetic
C-24-3,C-24,"A developer learning note on adapting a retrieval component. The main contribution is a supervised parameter-update recipe for a pretrained retriever, rather than a new search pipeline.",Fine-tuning,train,authored_synthetic
A-14-0,A-14,Grounded answers with missing evidence. A knowledge assistant declines to answer when its search results do not contain the requested fact.,RAG,train,authored_synthetic
B-06-1,B-06,"Article: A coding assistant that uses a terminal. Description: The system edits code, runs tests, reads the failures, and decides which change to attempt next.",Agents,train,authored_synthetic
B-17-3,B-17,A developer learning note on a shopping assistant with approval. The assistant compares products through tools and asks for confirmation before placing an order.,Agents,train,authored_synthetic
A-21-4,A-21,Reading suggestion: Caching retrieved context. The article reduces repeated document searches by caching retrieved passages for common questions. The intended reader is a software developer.,RAG,train,authored_synthetic
A-01-3,A-01,A developer learning note on choosing chunk boundaries. The article compares paragraph boundaries and overlapping windows when indexing documents for grounded answers.,RAG,train,authored_synthetic
D-15-4,D-15,Reading suggestion: An AI policy announcement. A policy document describes organizational AI governance responsibilities rather than model training or orchestration. The intended reader is a software developer.,Other,train,authored_synthetic
B-20-2,B-20,"A tool-using assistant separates external tool content from instructions controlling its actions. The article is titled ""Tools as untrusted data sources"".",Agents,train,authored_synthetic
D-21-2,D-21,"A scheduled script copies calendar entries between services without a model deciding which action to take. The article is titled ""A fixed calendar automation"".",Other,train,authored_synthetic
C-24-2,C-24,"The main contribution is a supervised parameter-update recipe for a pretrained retriever, rather than a new search pipeline. The article is titled ""Adapting a retrieval component"".",Fine-tuning,train,authored_synthetic
A-03-3,A-03,A developer learning note on combining lexical and vector retrieval. A search pipeline merges keyword results with embedding matches to find useful context for an answer.,RAG,train,authored_synthetic
D-20-3,D-20,"A developer learning note on vector similarity for product search. An ecommerce search engine ranks products by similarity, but no language generation or grounded answering is involved.",Other,train,authored_synthetic
C-20-1,C-20,Article: Preventing validation leakage. Description: Related examples are grouped before splitting a dataset used to adapt a pretrained model.,Fine-tuning,train,authored_synthetic
B-20-4,B-20,Reading suggestion: Tools as untrusted data sources. A tool-using assistant separates external tool content from instructions controlling its actions. The intended reader is a software developer.,Agents,train,authored_synthetic
C-15-1,C-15,Article: A multilingual task adapter. Description: Training examples in several languages are used to adapt a pretrained model to a defined task.,Fine-tuning,train,authored_synthetic
B-08-1,B-08,Article: Delegating work between specialists. Description: A coordinator assigns subtasks to specialized assistants and combines their results into one response.,Agents,train,authored_synthetic
C-14-2,C-14,"The team compares validation scores from saved checkpoints of the same supervised adaptation run. The article is titled ""A checkpoint comparison"".",Fine-tuning,train,authored_synthetic
C-15-2,C-15,"Training examples in several languages are used to adapt a pretrained model to a defined task. The article is titled ""A multilingual task adapter"".",Fine-tuning,train,authored_synthetic
A-22-1,A-22,Article: A retrieval ablation study. Description: The evaluation removes the external knowledge search to measure its effect on generated answers.,RAG,train,authored_synthetic
D-00-4,D-00,Reading suggestion: Generating images from a description. A diffusion system creates a picture from a text prompt; the article focuses on visual synthesis quality. The intended reader is a software developer.,Other,train,authored_synthetic
C-14-3,C-14,A developer learning note on a checkpoint comparison. The team compares validation scores from saved checkpoints of the same supervised adaptation run.,Fine-tuning,train,authored_synthetic
D-08-4,D-08,Reading suggestion: Generating speech from text. A text-to-speech system produces narration and the article compares audio quality and speaker characteristics. The intended reader is a software developer.,Other,train,authored_synthetic
A-06-0,A-06,Citations from retrieved context. An assistant links factual statements in its answer to the document passages it retrieved.,RAG,train,authored_synthetic
B-03-0,B-03,"Recovering from a failed tool call. An autonomous workflow examines a tool error and decides whether to retry, change arguments, or escalate.",Agents,train,authored_synthetic
B-06-2,B-06,"The system edits code, runs tests, reads the failures, and decides which change to attempt next. The article is titled ""A coding assistant that uses a terminal"".",Agents,train,authored_synthetic
D-08-1,D-08,Article: Generating speech from text. Description: A text-to-speech system produces narration and the article compares audio quality and speaker characteristics.,Other,train,authored_synthetic
C-08-2,C-08,"A team removes conflicting examples before supervised adaptation of a pretrained assistant. The article is titled ""Cleaning an instruction dataset"".",Fine-tuning,train,authored_synthetic
D-01-2,D-01,"A speech recognition system converts recorded audio into text and is evaluated on transcription errors. The article is titled ""Recognizing spoken words"".",Other,train,authored_synthetic
B-17-1,B-17,Article: A shopping assistant with approval. Description: The assistant compares products through tools and asks for confirmation before placing an order.,Agents,train,authored_synthetic
